glib-networking 1:2.80.1-1
glib2 2.84.3-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glow 2.1.1-1
glslang 1:1.4.313.0-1
gmp 6.3.0-2
gnome-keyring 1:48.0-1
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnustep-base 1.31.1-1
gnutls 3.8.9-1
go 2:1.24.4-1
go-jsonnet 0.21.0-1
go-tools 4:0.34.0-1
go-yq 4.45.4-1
gobject-introspection-runtime 1.84.0-2
gopls 0.19.1-1
gperftools 2.16-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.12-2
grim 1.4.1-3
groff 1.23.0-7
grpc 1.73.0-1
grub 2:2.12.r292.g73d1c959-1
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.4-1
gssproxy 0.9.2-2
gst-libav 1.26.3-2
gst-plugin-pipewire 1:1.4.6-1
gst-plugins-bad 1.26.3-2
gst-plugins-bad-libs 1.26.3-2
gst-plugins-base 1.26.3-2
gst-plugins-base-libs 1.26.3-2
gst-plugins-ugly 1.26.3-2
gstreamer 1.26.3-2
gtest 1.17.0-1
gtk-engine-murrine 0.98.2-4
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.18.6-1
gtk2 2.24.33-5
gtk3 1:3.24.49-2
gtk4 1:4.18.6-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
guile 3.0.10-1
gum 0.16.2-1
gumbo-parser 0.13.1-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gutenprint 5.3.5-1
gzip 1.14-2
harfbuzz 11.2.1-1
harfbuzz-icu 11.2.1-1
harper 0.47.0-1
haveged 1.9.19-1
hdparm 9.65-2
helix 25.01.1-1
helm 3.18.3-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.2.0-1
hubble-bin 1.17.5-1
hugo 0.147.9-1
hunspell 1.7.2-2
hwdata 0.397-1
hwdetect 2025.03.06.1935-1
